NO;DIMENSI;SUB DIMENSI;INDIKATOR;ITEM;SKOR Rata-Rata;SKOR 1;SKOR 2;SKOR 3;SKOR 4;SKOR 5;INTERVENSI KEGIATAN;PELAKSANA KEGIATAN PUSAT;PELAKSANA KEGIATAN PROVINSI;PELAKSANA KEGIATAN KABUPATEN;PELAKSANA KEGIATAN DESA;PELAKSANA KEGIATAN Lainnya
4;LINGKUNGAN;SUB-DIMENSI PENGELOLAAN LINGKUNGAN;Rumah Tangga Dengan Akses Sanitasi (Air Limbah Domestik) Aman;Ketersediaan dan kepemilikan Jamban di Desa;;;;;;;;"KLHK, Kementerian Perindustrian, Kementerian ESDM, Kemendesa PDTT, Bappenas, BPPT";"Dinas Kesehatan Provinsi, Dinas Pemberdayaan Masyarakat dan Desa (DPMD) Provinsi";"Dinas Kesehatan Kabupaten/Kota, Dinas Pemberdayaan Masyarakat dan Desa (DPMD) Kabupaten/Kota";"Pemerintah Desa, BPD, Lembaga Masyarakat Desa";"Swasta, BUMDesa, Akademisi"
4;LINGKUNGAN;SUB-DIMENSI PENGELOLAAN LINGKUNGAN;Rumah Tangga Dengan Akses Sanitasi (Air Limbah Domestik) Aman;Keberfungsian jamban;;;;;;;;"KLHK, Kemendesa Perindustrian, Kementerian ESDM, Kemendesa PDTT, Bappenas, BPPT";"Dinas Lingkungan Hidup Provinsi, Dinas Perindustrian dan Perdagangan Provinsi";"Dinas Lingkungan Hidup Kabupaten/Kota, Dinas Kesehatan Kabupaten/Kota, Dinas Perindustrian dan Perdagangan Kabupaten/Kota";"Pemerintah Desa, BPD, Lembaga Masyarakat Desa";"BUMDesa, LSM, Swasta, Akademisi"
4;LINGKUNGAN;SUB-DIMENSI PENGELOLAAN LINGKUNGAN;Rumah Tangga Dengan Akses Sanitasi (Air Limbah Domestik) Aman;Ketersediaan Tangki Septik (Komunal/ Bersama);;;;;;;;"Kementerian PUPR, Kementerian Kesehatan, Kemendesa PDTT, Bappenas, BPPT";"Dinas Perkim Provinsi, Dinas  Kesehatan Provinsi";"Dinas Kesehatan Kabupaten/Kota, Dinas PUPR Kabupaten/Kota, Dinas Lingkungan Hidup Kabupaten/Kota";"Pemerintah Desa, BPD, Lembaga Masyarakat Desa";"BUMDesa, LSM, Swasta, Akademisi"
4;LINGKUNGAN;SUB-DIMENSI PENGELOLAAN LINGKUNGAN;Rumah Tangga Dengan Akses Sanitasi (Air Limbah Domestik) Aman;Keberfungsian Tangki Septik;;;;;;;;"Kementerian PUPR, Kementerian Kesehatan, Kemendesa PDTT, Bappenas, BPPT";"Dinas Perkim Provinsi, Dinas  Kesehatan Provinsi";"Dinas Kesehatan Kabupaten/Kota, Dinas PUPR Kabupaten/Kota, Dinas Lingkungan Hidup Kabupaten/Kota";"Pemerintah Desa, BPD, Lembaga Masyarakat Desa";"BUMDesa, LSM, Swasta, Akademisi"
4;LINGKUNGAN;SUB-DIMENSI PENGELOLAAN LINGKUNGAN;Rumah Tangga Dengan Akses Sanitasi (Air Limbah Domestik) Aman;Pembuangan Air Limbah Cair Rumah;;;;;;;;"Kementerian PUPR, Kementerian Kesehatan, Kemendesa PDTT, Bappenas, BPPT";"Dinas Perkim Provinsi, Dinas  Kesehatan Provinsi";"Dinas Kesehatan Kabupaten/Kota, Dinas PUPR Kabupaten/Kota, Dinas Lingkungan Hidup Kabupaten/Kota";"Pemerintah Desa, BPD, Lembaga Masyarakat Desa";"BUMDesa, LSM, Swasta, Akademisi"
4;LINGKUNGAN;SUB-DIMENSI PENANGGULANGAN BENCANA;Penanggulangan Bencana;Ketersediaan Aspek informasi Kebencanaan;;;;;;;;"Kemendagri, Kemensos, Kemenkominfo, KLHK, BNPB, BMKG, BIG, LIPI";"BPBD, Dinas Komunikasi dan Informatika, Dinas Lingkungan Hidup Provinsi";"BPBD Kabupaten/Kota, Dinas kominfo Kabupaten/Kota, Dinas Pendidikan Kabupaten/Kota";"Pemerintah Desa, Lembaga Masyarakat Desa";"LSM, Swasta, Akademisi"
4;LINGKUNGAN;SUB-DIMENSI PENANGGULANGAN BENCANA;Penanggulangan Bencana;Ketersediaan Fasilitas Mitigasi Bencana ;;;;;;;;"Kemendagri, Kementerian PUPR, Kemensos, Kemenkominfo, KLHK, BNPB, BMKG, BIG, LIPI";"BPBD, Dinas PUPR Provinsi, Dinas Lingkungan Hidup Provinsi";"BPBD Kabupaten/Kota, Dinas Pertanian Kabupaten/Kota, Dinas Pendidikan Kabupaten/Kota";"Pemerintah Desa, Lembaga Masyarakat Desa, Relawan Tanggap Bencana";"LSM, Swasta, Akademisi"
4;LINGKUNGAN;SUB-DIMENSI PENANGGULANGAN BENCANA;Penanggulangan Bencana;Kemudahan Akses Menuju Fasilitas Mitigasi Bencana;;;;;;;;"Kemendagri, Kementerian PUPR, Kemensos, Kemenhub, BNPB, BMKG, BIG, LIPI";"BPBD, Dinas PUPR Provinsi, Dinas Perhubungan Provinsi";"BPBD Kabupaten/Kota, Dinas Perhubungan Kabupaten/Kota, Dinas PUPR Kabupaten/Kota";"Pemerintah Desa, Lembaga Masyarakat Desa, Relawan Tanggap Bencana";"LSM, Swasta, Akademisi"
4;LINGKUNGAN;SUB-DIMENSI PENANGGULANGAN BENCANA;Penanggulangan Bencana;Terdapat aktivitas Mitigasi dan atau Rehabilitasi Bencana di Desa;;;;;;;;"Kemendagri, Kementerian PUPR, KLHK, Kemensos, BNPB, BMKG, BIG, LIPI";"BPBD, Dinas PUPR Provinsi, Dinas Lingkungan Hidup Provinsi";"BPBD Kabupaten/Kota, Dinas Kesehatan Kabupaten/Kota, Dinas Pendidikan Kabupaten/Kota";"Pemerintah Desa, Lembaga Masyarakat Desa, Relawan Tanggap Bencana";"LSM, Swasta, Akademisi"
4;LINGKUNGAN;SUB-DIMENSI PENANGGULANGAN BENCANA;Penanggulangan Bencana;Ketersediaan Fasilitas Aspek Tanggap Darurat Bencana;;;;;;;;"Kemendagri, Kementerian PUPR, Kemenkominfo, Kemensos, BNPB, BMKG, BIG, LIPI";"BPBD, Dinas PUPR Provinsi, Dinas Kesehatan Provinsi";"BPBD Kabupaten/Kota, Dinas Sosial Kabupaten/Kota, Dinas Pendidikan Kabupaten/Kota";"Pemerintah Desa, Lembaga Masyarakat Desa, Relawan Tanggap Bencana";"LSM, Swasta, Akademisi"
5;AKSESIBILITAS;SUB-DIMENSI KONDISI AKSES JALAN;Kondisi Jalan di desa;Jenis Permukaan Jalan sebagian besar di desa;;;;;;;;"Kementerian PUPR, Kemendesa PDTT, Kemeterian Perhubungan, KLHK, LKPP, BIG, BUMN";"Dinas PUPR Provinsi, Dinas Perhubungan Provinsi";"Dinas PUPR Kabupaten/Kota, Dinas Perhubungan Kabupaten/Kota";"Pemerintah Desa, Lembaga Masyarakat Desa,";"BUMDesa, LSM, Swasta, Akademisi"
5;AKSESIBILITAS;SUB-DIMENSI KONDISI AKSES JALAN;Kondisi Jalan di desa;Kualitas sebagian besar jalan di Desa;;;;;;;;"Kementerian PUPR, Kemendesa PDTT, Kemeterian Perhubungan, KLHK, BPKP, BIG, BUMN";"Dinas PUPR Provinsi, Dinas Perhubungan Provinsi";"Dinas PUPR Kabupaten/Kota, Dinas Perhubungan Kabupaten/Kota";"Pemerintah Desa, Lembaga Masyarakat Desa,";"BUMDesa, LSM, Swasta, Akademisi"
5;AKSESIBILITAS;SUB-DIMENSI KONDISI AKSES JALAN;Kondisi Penerangan Jalan Utama Desa;Ketersediaan penerangan di jalan-jalan utama di desa;;;;;;;;"Kementerian ESDM, Kemendesa PDTT, Kementerian PUPR, Kemenhub, PLN, LKPP, BUMN";"Dinas ESDM Provinsi, Dinas Perhubungan Provinsi, Dinas PUPR Provinsi";"Dinas PUPR Kabupaten/Kota, Dinas Perhubungan Kabupaten/Kota";"Pemerintah Desa, Lembaga Masyarakat Desa,";"BUMDesa, Swasta, Akademisi"
5;AKSESIBILITAS;SUB-DIMENSI KONDISI AKSES JALAN;Kondisi Penerangan Jalan Utama Desa;Operasional desa dalam penyediaan penerangan di jalan-jalan utama di desa;;;;;;;;"Kementerian ESDM, Kemendesa PDTT, Kemenkeu, KLHK, PLN, BUMN";"Dinas ESDM Provinsi, Dinas Perhubungan Provinsi";"Dinas PUPR Kabupaten/Kota, Dinas Perhubungan Kabupaten/Kota";"Pemerintah Desa, Lembaga Masyarakat Desa,";"BUMDesa, Swasta, Akademisi"
5;AKSESIBILITAS;SUB-DIMENSI KEMUDAHAN AKSES;Keberadaan Angkutan Perdesaan/Angkutan Lokal/ Sejenis;Keberadaan Angkutan Perdesaan/Angkutan Lokal/ Sejenis di Desa;;;;;;;;"Kemenhub, Kemendesa PDTT, Kemenkeu, Perusahaan Otobus, BUMN Transportasi";"Dinas PUPR Provinsi, Dinas Perhubungan Provinsi";"Dinas PUPR Kabupaten/Kota, Dinas Perhubungan Kabupaten/Kota";"Pemerintah Desa, Lembaga Masyarakat Desa,";"BUMDesa, Swasta, Akademisi"
5;AKSESIBILITAS;SUB-DIMENSI KEMUDAHAN AKSES;Keberadaan Angkutan Perdesaan/Angkutan Lokal/ Sejenis;Operasional Angkutan Perdesaan/Angkutan Lokal/Sejenis  di Desa;;;;;;;;"Kemenhub, Kemendesa PDTT, Kementerian PUPR, Kemenkeu, PLN, BUMN Transportasi";"Dinas PUPR Provinsi, Dinas Perhubungan Provinsi";"Dinas PUPR Kabupaten/Kota, Dinas Perhubungan Kabupaten/Kota";"Pemerintah Desa, Lembaga Masyarakat Desa,";"BUMDesa, Swasta, Akademisi"
5;AKSESIBILITAS;SUB-DIMENSI KEMUDAHAN AKSES;Akses Listrik;Ketersediaan Pelayanan Listrik untuk rumah di desa;;;;;;;;"Kementerian ESDM, Kemendesa PDTT, Kemenkeu, PLN, BUMN Lembaga Energi";"Dinas PUPR Provinsi, Dinas ESDM Provinsi";"Dinas PUPR Kabupaten/Kota, Dinas ESDM Kabupaten/Kota";"Pemerintah Desa, Lembaga Masyarakat Desa,";"BUMDesa, Swasta, Akademisi"
5;AKSESIBILITAS;SUB-DIMENSI KEMUDAHAN AKSES;Akses Listrik;Tersedia Lama Durasi layanan Listrik di Desa;;;;;;;;"Kementerian ESDM, Kemendesa PDTT, Kemenkeu, Kementerian PUPR, PLN, BUMN Lembaga Energi Terbarukan";"Dinas PUPR Provinsi, Dinas ESDM Provinsi";"Dinas PUPR Kabupaten/Kota, Dinas ESDM Kabupaten/Kota";"Pemerintah Desa, Lembaga Masyarakat Desa,";"BUMDesa, Swasta, Akademisi"
5;AKSESIBILITAS;SUB-DIMENSI KEMUDAHAN AKSES;Layanan Telekomunikasi;Ketersediaan Akses Telepon di sebagian besar wilayah Desa;;;;;;;;"Kemenkominfo, Kemendesa PDTT, Kementerian PUPR, BAKTI, Lembaga Penyedia Telekomunikasi Nasional";Dinas Kominfo Provinsi;"Dinas Kominfo Kabupaten/Kota, Dinas PUPR Kabupaten/Kota";"Pemerintah Desa, Lembaga Masyarakat Desa,";"BUMDesa, Swasta, Akademisi"
5;AKSESIBILITAS;SUB-DIMENSI KEMUDAHAN AKSES;Layanan Telekomunikasi;Ketersediaan Akses Internet di sebagian besar wilayah Desa;;;;;;;;"Kemenkominfo, Kemendesa PDTT, Kementerian PUPR, BAKTI, Lembaga Penyedia Jasa Internet (ISP)";"Dinas Kominfo Provinsi, Dinas PUPR Provinsi";"Dinas Kominfo Kabupaten/Kota, Dinas Pendidikan dan kebudayaan Kabupaten/Kota";"Pemerintah Desa, Lembaga Masyarakat Desa,";"BUMDesa, Swasta, Akademisi"
6;TATA KELOLA PEMERINTAHAN DESA;SUB-DIMENSI KELEMBAGAAN DAN PELAYANAN DESA;Pelaksanaan Pelayanan dan Administrasi Desa;Pelaksanaan Pelayanan dan Administrasi Desa;;;;;;;;"Kemendagri, Kemendesa PDTT, Kemenkeu, BPKP, Lembaga Administrasi Negara";"Dinas Kesehatan Provinsi, BKD Provinsi";"Dinas Kominfo Kabupaten/Kota, Dinas PMD Kabupaten/Kota";"Pemerintah Desa, BPD,";"Swasta, Akademisi"
6;TATA KELOLA PEMERINTAHAN DESA;SUB-DIMENSI KELEMBAGAAN DAN PELAYANAN DESA;Pemanfaatan Teknologi dalam Pelayanan Desa (SPBE);Publikasi Informasi Pelayanan kepada masyarakat desa;;;;;;;;"Kemenkominfo, Kemendesa PDTT, Kemendagri, BAKTI, Komisi Informasi Pusat";"Dinas Kominfo Provinsi, Dinas PMD Provinsi";"Dinas Kominfo Kabupaten/Kota, Dinas PMD Kabupaten/Kota";"Pemerintah Desa, Lembaga Masyarakat Desa,";"BUMDesa, Swasta, Akademisi"
6;TATA KELOLA PEMERINTAHAN DESA;SUB-DIMENSI KELEMBAGAAN DAN PELAYANAN DESA;Pemanfaatan Teknologi dalam Pelayanan Desa (SPBE);Pelayanan Administrasi untuk masyarakat desa;;;;;;;;"Kemenkeu, Kemendesa PDTT, Kemendagri, Lembaga Administrasi Negara, Komisi Aparatur Sipil Negara";"Dinas Kominfo Provinsi, Dinas PMD Provinsi";"Dinas Kominfo Kabupaten/Kota, Dinas Dukcapil Kabupaten/Kota";"Pemerintah Desa, BPD,";"Swasta, Akademisi"
6;TATA KELOLA PEMERINTAHAN DESA;SUB-DIMENSI KELEMBAGAAN DAN PELAYANAN DESA;Pemanfaatan Teknologi dalam Pelayanan Desa (SPBE);Pelayanan Pengaduan untuk masyarakat desa;;;;;;;;"Kemendagri, Kemendesa PDTT, Kemenkumham, KORI, Komisi Informasi Pusat";"Dinas Kominfo Provinsi, Dinas PMD Provinsi";"Dinas Kominfo Kabupaten/Kota, Dinas PMD Kabupaten/Kota";"Pemerintah Desa, BPD,";"Swasta, Akademisi"
6;TATA KELOLA PEMERINTAHAN DESA;SUB-DIMENSI KELEMBAGAAN DAN PELAYANAN DESA;Pemanfaatan Teknologi dalam Pelayanan Desa (SPBE);Pelayanan Lainnya untuk masyarakat desa;;;;;;;;"Kemendagri, Kemendesa PDTT, Kemenkes, BNPB, BPS";"Dinas Kesehatan Provinsi, Dinas Sosial Provinsi";"Dinas Kesehatan Kabupaten/Kota, Dinas PMD Kabupaten/Kota";"Pemerintah Desa, BPD,";"Swasta, Akademisi"
6;TATA KELOLA PEMERINTAHAN DESA;SUB-DIMENSI KELEMBAGAAN DAN PELAYANAN DESA;Musyawarah Desa;Frekuensi Musyawarah Desa selama setahun terakhir;;;;;;;;"Kemendagri, Kemendesa PDTT, BPMD, Bappenas";"Bappeda Provinsi, Dinas PMD Provinsi";"Bappeda Kabupaten/Kota, Dinas PMD Kabupaten/Kota";"Pemerintah Desa, BPD,";"Swasta, Akademisi, LSM"
6;TATA KELOLA PEMERINTAHAN DESA;SUB-DIMENSI KELEMBAGAAN DAN PELAYANAN DESA;Musyawarah Desa;Musyawarah Desa dihadiri oleh unsur masyarakat atau unsur masyarakat lainnya;;;;;;;;"Kemendagri, Kemendesa PDTT, BPMD, Bappenas";"Dinas Pendidikan Provinsi, Dinas PMD Provinsi";"Dinas Sosial Kabupaten/Kota, Dinas PMD Kabupaten/Kota";"Pemerintah Desa, BPD,";"Swasta, Akademisi, LSM"
6;TATA KELOLA PEMERINTAHAN DESA;SUB-DIMENSI TATA KELOLA KEUANGAN DESA;Pendapatan Asli Desa (PADes) dan Dana Desa;Pendapatan Asli Desa;;;;;;;;"Kemendagri, Kemendesa PDTT, Kemenkeu, BPMD, BPKP";"Dinas Parekraf Provinsi, Dinas PMD Provinsi";"Dinas Koperasi dan UMKM Kabupaten/Kota, Dinas PMD Kabupaten/Kota";Pemerintah Desa;"BUMDesa, Swasta, Akademisi"
6;TATA KELOLA PEMERINTAHAN DESA;SUB-DIMENSI TATA KELOLA KEUANGAN DESA;Pendapatan Asli Desa (PADes) dan Dana Desa;Peningkatan PADes;;;;;;;;"Kemendagri, Kemendesa PDTT, Kemenkeu, Kemenparekraf, BPMD, Bappenas, BPKP";"Dinas Parekraf Provinsi, Dinas PMD Provinsi";"Dinas Koperasi dan UMKM Kabupaten/Kota, Dinas PMD Kabupaten/Kota";Pemerintah Desa;"BUMDesa, Swasta, Akademisi"
6;TATA KELOLA PEMERINTAHAN DESA;SUB-DIMENSI TATA KELOLA KEUANGAN DESA;Pendapatan Asli Desa (PADes) dan Dana Desa;Ketersediaan Penyertaan Modal dari Dana Desa kepada BUMDesa;;;;;;;;"Kemendagri, Kemendesa PDTT, Kemenkeu, Bappenas, BPKP";"Dinas Koperasi dan UMKM Provinsi, Dinas PMD Provinsi";"Dinas Keuangan Kabupaten/Kota, Dinas PMD Kabupaten/Kota";Pemerintah Desa;"BUMDesa, Swasta, Akademisi"
6;TATA KELOLA PEMERINTAHAN DESA;SUB-DIMENSI TATA KELOLA KEUANGAN DESA;Jumlah Kepemilikan dan Produktivitas Aset Desa;Kepemilikan Aset berupa Tanah Desa;;;;;;;;"Kementerian ATR/BPN, Kemendesa PDTT, Kemendagri, BPN, BPKP";"Dinas Pertanahan dan Tata Ruang Provinsi, Dinas PMD Provinsi";"Dinas PMD Kabupaten/Kota, ";Pemerintah Desa;"BUMDesa, Swasta, Akademisi"
6;TATA KELOLA PEMERINTAHAN DESA;SUB-DIMENSI TATA KELOLA KEUANGAN DESA;Jumlah Kepemilikan dan Produktivitas Aset Desa;Kepemilikan Aset berupa Kantor Desa;;;;;;;;"Kemendagri, Kemendesa PDTT, Kementerian PUPR, BPK, BPKP";"Dinas Pertanahan dan Tata Ruang Provinsi, Dinas PMD Provinsi";"Dinas PMD Kabupaten/Kota, Dinas Perumahan, Kawasan Permukiman, dan Pertanahan Kabupaten/Kota";"Pemerintah Desa, BPD";"Swasta, Akademisi"
6;TATA KELOLA PEMERINTAHAN DESA;SUB-DIMENSI TATA KELOLA KEUANGAN DESA;Jumlah Kepemilikan dan Produktivitas Aset Desa;Kepemilikan Aset berupa Pasar Desa;;;;;;;;"Kemendagri, Kemendesa PDTT, Kementerian Perdagangan, Kemenkeu, BPK, BPKP";"Dinas Koperasi dan UMKM Provinsi, Dinas PMD Provinsi";"Dinas Perdagangan dan Koperasi Kabupaten/Kota, Dinas PMD Kabupaten/Kota";"Pemerintah Desa, BPD";"BUMDesa, Swasta, Akademisi"
6;TATA KELOLA PEMERINTAHAN DESA;SUB-DIMENSI TATA KELOLA KEUANGAN DESA;Jumlah Kepemilikan dan Produktivitas Aset Desa;Kepemilikan Aset Lainnya;;;;;;;;"Kemendagri, Kemendesa PDTT, Kementerian PUPR, Kemenkeu, BPK, BPKP";"Dinas Pemuda dan Olahraga atau Kebudayaan Provinsi, Dinas PMD Provinsi";"Dinas Perdagangan dan Koperasi Kabupaten/Kota, Dinas PMD Kabupaten/Kota";"Pemerintah Desa, BPD";"BUMDesa, Swasta, Akademisi"
6;TATA KELOLA PEMERINTAHAN DESA;SUB-DIMENSI TATA KELOLA KEUANGAN DESA;Jumlah Kepemilikan dan Produktivitas Aset Desa;Produktivitas Kepemilikan Aset Desa;;;;;;;;"Kemendagri, Kemendesa PDTT, Kemenparekraf, Kemenkeu, Bappenas, BPKP";"Dinas Pariwisata dan Kebudayaan Provinsi, Dinas PMD Provinsi";"Dinas Koperasi dan UMKM Kabupaten/Kota, Dinas PMD Kabupaten/Kota, Dinas Perdagangan atau Perindustrian Kabupaten/Kota";"Pemerintah Desa, BPD";"BUMDesa, Swasta, Akademisi"
6;TATA KELOLA PEMERINTAHAN DESA;SUB-DIMENSI TATA KELOLA KEUANGAN DESA;Jumlah Kepemilikan dan Produktivitas Aset Desa;inventarisasi Aset Desa;;;;;;;;"Kemendagri, Kemendesa PDTT, Kemenkeu, BPN, BPKP, LKPP";Dinas PMD Provinsi;"Dinas Pertahanan Kabupaten/Kota, Dinas PMD Kabupaten/Kota, Dinas Keuangan Daerah Kabupaten/Kota";;
